# Time (sec),Drain (A),Drain (V)
228.236,0.000558996,2.0
228.656,0.000559167,2.0
229.116,0.000559145,2.0
229.536,0.000559143,2.0
229.946,0.000559125,2.0
230.356,0.000558923,2.0
230.756,0.000558767,2.0
231.176,0.000558546,2.0
231.616,0.000558372,2.0
232.046,0.000558085,2.0
232.466,0.000557997,2.0
232.906,0.000557947,2.0
233.326,0.000557696,2.0
233.756,0.000557899,2.0
234.196,0.000557637,2.0
234.646,0.000557579,2.0
235.056,0.000557258,2.0
235.466,0.000557039,2.0
235.886,0.000557029,2.0
236.296,0.000557058,2.0
236.726,0.000557047,2.0
237.156,0.000556735,2.0
237.566,0.000556694,2.0
237.976,0.000556781,2.0
238.416,0.000556419,2.0
238.855,0.000556418,2.0
239.295,0.000556301,2.0
239.745,0.000556197,2.0
240.175,0.000556079,2.0
240.605,0.000555937,2.0
241.035,0.000555514,2.0
241.465,0.000555565,2.0
241.895,0.000555371,2.0
242.325,0.000555404,2.0
242.745,0.000555258,2.0
243.175,0.000554962,2.0
243.605,0.000555055,2.0
244.075,0.00055513,2.0
244.555,0.000554652,2.0
245.005,0.000554672,2.0
245.425,0.000554227,2.0
245.875,0.00055395,2.0
246.325,0.000553761,2.0
246.775,0.000553681,2.0
247.225,0.000553609,2.0
247.655,0.000553375,2.0
248.075,0.000553193,2.0
248.525,0.000552903,2.0
248.935,0.00055284,2.0
249.395,0.000552378,2.0
249.845,0.00055246,2.0
250.285,0.000552167,2.0
250.755,0.000552193,2.0
251.235,0.00055207,2.0
251.685,0.000551908,2.0
252.185,0.000551684,2.0
252.625,0.00055148,2.0
253.055,0.00055156,2.0
253.495,0.00055125,2.0
253.925,0.000550952,2.0
254.365,0.000550811,2.0
254.825,0.000550758,2.0
255.284,0.000550596,2.0
255.714,0.000550523,2.0
256.174,0.000550299,2.0
256.624,0.000550219,2.0
257.074,0.000550092,2.0
257.504,0.000550222,2.0
257.944,0.000549796,2.0
258.394,0.000549524,2.0
258.824,0.000549307,2.0
259.244,0.000549345,2.0
259.714,0.000549195,2.0
260.144,0.000548905,2.0
260.594,0.000548993,2.0
261.074,0.000548707,2.0
261.524,0.000548817,2.0
261.974,0.0005485,2.0
262.394,0.0005483,2.0
262.834,0.000548325,2.0
263.294,0.000548109,2.0
263.734,0.0005478,2.0
264.154,0.000547615,2.0
264.614,0.000547838,2.0
265.084,0.000547638,2.0
265.524,0.000547401,2.0
265.964,0.000547066,2.0
266.424,0.000547023,2.0
266.874,0.000547067,2.0
267.334,0.000546983,2.0
267.784,0.000546594,2.0
268.224,0.000546696,2.0
268.674,0.000546522,2.0
269.114,0.00054642,2.0
269.564,0.000546376,2.0
270.014,0.000546496,2.0
270.454,0.000546137,2.0
270.904,0.000546125,2.0
271.354,0.000546139,2.0
271.823,0.000546,2.0
272.293,0.000546035,2.0
272.753,0.000546257,2.0
273.183,0.00054613,2.0
273.683,0.000545942,2.0
274.123,0.000545529,2.0
274.593,0.00054531,2.0
275.063,0.000545304,2.0
275.503,0.000545431,2.0
275.943,0.00054544,2.0
276.373,0.000545207,2.0
276.823,0.000545261,2.0
277.253,0.000544828,2.0
277.673,0.000544939,2.0
278.093,0.000544854,2.0
278.533,0.00054474,2.0
278.993,0.00054451,2.0
279.423,0.000544298,2.0
279.853,0.000544448,2.0
280.303,0.000544374,2.0
280.753,0.000544338,2.0
281.203,0.000544189,2.0
281.643,0.000544187,2.0
282.093,0.000544009,2.0
282.513,0.000544076,2.0
282.973,0.000544122,2.0
283.403,0.000543802,2.0
283.863,0.000543591,2.0
284.293,0.000543574,2.0
284.743,0.000543691,2.0
